source_publication_date,source_type,source_url,project_name_hint,state,sector_hint,reason_text
2013-04-29,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=48&relid=95201,Gurgaon Kotputli Jaipur six lane,Haryana Rajasthan,Roads,"slow concessionaire progress; land acquisition; forest clearance; structure removal; scope additions"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Nechipu Hoj NH 229,Arunachal Pradesh,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Chilkaluripet Vijayawada six lane,Andhra Pradesh,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Kudapa Mydukur Kurnool,Andhra Pradesh,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Tinsukia bypass NH 37,Assam,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Patna Muzaffarpur,Bihar,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Mokama Munger,Bihar,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Srinagar Uri NH 1A,Jammu Kashmir,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Batote Kishtwar Sinthanpass Anantnag,Jammu Kashmir,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Srinagar Kargil Leh,Jammu Kashmir,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Cherthalai Ochira,Kerala,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Vadakkancherry Thrissur,Kerala,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,ICTT Vallarpadam connectivity,Kerala,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Dalkola bypass,West Bengal,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Siliguri Islampur,West Bengal,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Bahrampore Farakka,West Bengal,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Farakka Raiganj,West Bengal,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Raiganj Dalkola,West Bengal,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Barasat Krishnagar,West Bengal,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Krishnagar Bahrampore,West Bengal,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Chennai Port Maduravoyal elevated road,Tamil Nadu,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Chennai Tada,Tamil Nadu,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Dindigul Theni,Tamil Nadu,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Kundapur Surathkal Mangalore Karnataka Kerala Border,Karnataka,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Pune Satara,Maharashtra,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Pune Sholapur Package I,Maharashtra,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Panvel Indapur,Maharashtra,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Muzaffarnagar Haridwar,Uttarakhand,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Haridwar Dehradun,Uttarakhand,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Delhi Agra,Uttar Pradesh,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Bareilly Sitapur,Uttar Pradesh,Roads,"land acquisition delay"
2013-08-06,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=3&relid=97728,Moradabad Bareilly,Uttar Pradesh,Roads,"land acquisition delay"
2013-12-17,PIB,https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=48&relid=101851,Goa Karnataka Border Kundapur,Karnataka,Roads,"environment and forest clearance pending"
2014-02-10,PIB,https://www.pib.gov.in/newsite/erelcontent.aspx?relid=103351,Hajipur Chhapra,Bihar,Roads,"land acquisition; utility shifting; forest clearance; railway approval; contractor performance"
2014-02-10,PIB,https://www.pib.gov.in/newsite/erelcontent.aspx?relid=103351,Chhapra Gopalganj,Bihar,Roads,"land acquisition; utility shifting; forest clearance; railway approval; contractor performance"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Bongaigaon TPP,Assam,Power,"bandhs and violence; heavy monsoon; slow civil works; material supply delay; poor contractor performance"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Barh STPP I,Bihar,Power,"contractual dispute; equipment supply delay; contractor financial constraints; slow progress"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Nabi Nagar TPP,Bihar,Power,"land acquisition; slow civil works; equipment supply delay; local agitation; vendor financial crunch"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,New Nabi Nagar TPP,Bihar,Power,"balance land acquisition and relocation of homestead owners"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Lara STPP,Chhattisgarh,Power,"equipment supply delay; land acquisition; boiler auxiliary readiness"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,North Karanpura STPP,Jharkhand,Power,"land acquisition; delayed civil start; equipment supply; plot plan change; package award delay"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Solapur STPP,Maharashtra,Power,"equipment supply; right of use for water pipeline; civil front readiness"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Gadarwara STPP,Madhya Pradesh,Power,"local agitation over compensation; land acquisition; slow civil progress; pipeline right of use"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Darlipalli STPP,Odisha,Power,"balance land acquisition for railway siding and water-line right of use"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Neyveli New TPP,Tamil Nadu,Power,"foundation design change; civil contractor finalisation; water and cooling-system works; slow civil progress"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Meja STPP,Uttar Pradesh,Power,"boiler material supply delay and slow main-plant civil works"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Namrup CCGT,Assam,Power,"slow civil works; contractor termination; poor soil; heavy monsoon; material and manpower shortages"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Yelahanka CCPP,Karnataka,Power,"heavy rain"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Bhadradri TPP,Telangana,Power,"NGT issue and environment clearance unavailable"
2018-04-05,Lok Sabha,https://sansad.in/getFile/loksabhaquestions/annex/14/AU6251.pdf?source=pqals,Ennore Expansion SCTPP,Tamil Nadu,Power,"contractor insolvency"
